,dBA
1482,59.2
1483,73.9
1484,52.2
1485,58.9
1486,59.3
1487,72.8
1488,58.8
1489,58.2
1490,60.5
1491,68.8
1492,57.9
1493,58.1
1494,59.7
1495,73.6
1496,53.6
1497,58.7
1498,59.8
1499,74.6
1500,58.4
1501,58.9
1502,59.3
1503,70.6
1504,59.9
1505,58.6
1506,60.3
1507,73.7
1508,55.4
1509,60.6
1510,59.7
1511,72.2
1512,57.7
1513,58.5
1514,59.1
1515,70.3
1516,58.7
1517,59.0
1518,59.0
1519,72.6
1520,50.0
1521,61.0
1522,58.7
1523,74.7
1524,58.4
1525,58.8
1526,59.2
1527,68.8
1528,56.0
1529,60.2
1530,58.9
1531,72.5
1532,57.7
1533,59.7
1534,59.4
1535,76.0
1536,56.6
1537,59.4
1538,58.7
1539,70.8
1540,57.2
1541,60.3
1542,58.7
1543,72.3
1544,55.9
1545,59.9
1546,58.8
1547,74.5
1548,59.9
1549,60.4
1550,59.4
1551,69.2
1552,56.6
1553,59.7
1554,59.3
1555,72.0
1556,60.7
1557,61.3
1558,58.7
1559,73.4
1560,59.6
1561,59.6
1562,58.2
1563,72.6
1564,59.7
1565,59.3
1566,58.9
1567,77.1
1568,59.1
1569,58.0
1570,59.1
1571,74.1
1572,56.9
1573,58.7
1574,59.4
1575,71.9
1576,57.5
1577,59.8
1578,67.0
1579,74.0
1580,59.5
1581,60.0
1582,59.3
1583,74.3
1584,58.4
1585,59.5
1586,59.5
1587,70.4
1588,57.3
1589,59.6
1590,59.2
1591,74.5
1592,56.0
1593,60.1
1594,59.2
1595,73.1
1596,60.9
1597,60.2
1598,58.9
1599,73.4
1600,64.7
1601,59.1
1602,59.5
1603,75.9
1604,58.9
1605,58.9
1606,59.9
1607,70.0
1608,60.2
1609,59.4
1610,59.3
1611,68.5
1612,59.7
1613,60.1
1614,58.4
1615,73.7
1616,60.6
1617,59.4
1618,58.6
1619,72.3
1620,58.6
1621,60.6
1622,59.0
1623,72.6
1624,60.2
1625,57.8
1626,58.2
1627,76.1
1628,57.4
1629,58.8
1630,57.8
1631,67.8
1632,60.9
1633,59.0
1634,57.8
1635,73.1
1636,58.9
1637,58.8
1638,58.1
1639,73.1
1640,57.6
1641,60.3
1642,58.1
1643,74.3
1644,58.1
1645,59.4
1646,57.8
1647,71.6
1648,56.5
1649,59.8
1650,58.2
1651,71.0
1652,53.4
1653,59.5
1654,58.6
1655,74.0
1656,58.6
1657,59.9
1658,58.4
1659,74.6
1660,58.0
1661,60.4
1662,57.9
1663,75.5
1664,59.4
1665,60.7
1666,58.4
1667,73.7
1668,59.3
1669,60.2
1670,58.0
1671,77.5
1672,58.9
1673,59.4
1674,58.6
1675,73.7
1676,52.3
1677,57.8
1678,58.6
1679,73.4
1680,56.6
1681,60.5
1682,58.6
1683,70.3
1684,60.9
1685,57.8
